
Encoding: task 1 of 2, 0.04 %
Encoding: task 1 of 2, 0.08 %
Encoding: task 1 of 2, 0.09 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.12 %
Encoding: task 1 of 2, 0.15 %
Encoding: task 1 of 2, 0.17 %
Encoding: task 1 of 2, 0.19 %
Encoding: task 1 of 2, 0.20 %
Encoding: task 1 of 2, 0.24 %
Encoding: task 1 of 2, 0.25 %
Encoding: task 1 of 2, 0.27 %
Encoding: task 1 of 2, 0.29 %
Encoding: task 1 of 2, 0.31 % (46.78 fps, avg 47.07 fps, ETA 00h22m20s)
Encoding: task 1 of 2, 0.33 % (46.78 fps, avg 47.07 fps, ETA 00h22m20s)
Encoding: task 1 of 2, 0.36 % (41.41 fps, avg 46.57 fps, ETA 00h22m33s)
Encoding: task 1 of 2, 0.37 % (41.41 fps, avg 46.57 fps, ETA 00h22m33s)
Encoding: task 1 of 2, 0.39 % (41.41 fps, avg 46.57 fps, ETA 00h22m33s)
Encoding: task 1 of 2, 0.42 % (45.01 fps, avg 46.85 fps, ETA 00h22m24s)
Encoding: task 1 of 2, 0.43 % (45.01 fps, avg 46.85 fps, ETA 00h22m24s)
Encoding: task 1 of 2, 0.46 % (45.01 fps, avg 46.85 fps, ETA 00h22m24s)
Encoding: task 1 of 2, 0.48 % (45.01 fps, avg 46.85 fps, ETA 00h22m24s)
Encoding: task 1 of 2, 0.51 % (45.47 fps, avg 46.31 fps, ETA 00h22m39s)
Encoding: task 1 of 2, 0.54 % (45.47 fps, avg 46.31 fps, ETA 00h22m39s)
Encoding: task 1 of 2, 0.55 % (45.47 fps, avg 46.31 fps, ETA 00h22m39s)
Encoding: task 1 of 2, 0.59 % (47.83 fps, avg 47.09 fps, ETA 00h22m15s)
Encoding: task 1 of 2, 0.60 % (47.83 fps, avg 47.09 fps, ETA 00h22m15s)
Encoding: task 1 of 2, 0.62 % (47.83 fps, avg 47.09 fps, ETA 00h22m15s)
Encoding: task 1 of 2, 0.64 % (47.83 fps, avg 47.09 fps, ETA 00h22m15s)
Encoding: task 1 of 2, 0.66 % (47.09 fps, avg 46.94 fps, ETA 00h22m18s)
Encoding: task 1 of 2, 0.69 % (37.58 fps, avg 43.52 fps, ETA 00h24m03s)
Encoding: task 1 of 2, 0.71 % (37.58 fps, avg 43.52 fps, ETA 00h24m03s)
Encoding: task 1 of 2, 0.74 % (37.58 fps, avg 43.52 fps, ETA 00h24m03s)
Encoding: task 1 of 2, 0.76 % (37.58 fps, avg 43.52 fps, ETA 00h24m03s)
Encoding: task 1 of 2, 0.79 % (38.47 fps, avg 44.51 fps, ETA 00h23m30s)
Encoding: task 1 of 2, 0.82 % (38.47 fps, avg 44.51 fps, ETA 00h23m30s)
Encoding: task 1 of 2, 0.84 % (38.47 fps, avg 44.51 fps, ETA 00h23m30s)
Encoding: task 1 of 2, 0.85 % (39.25 fps, avg 44.83 fps, ETA 00h23m18s)
Encoding: task 1 of 2, 0.88 % (39.25 fps, avg 44.83 fps, ETA 00h23m18s)
Encoding: task 1 of 2, 0.89 % (39.25 fps, avg 44.83 fps, ETA 00h23m18s)
Encoding: task 1 of 2, 0.92 % (47.84 fps, avg 44.61 fps, ETA 00h23m24s)
Encoding: task 1 of 2, 0.94 % (47.84 fps, avg 44.61 fps, ETA 00h23m24s)
Encoding: task 1 of 2, 0.97 % (47.84 fps, avg 44.61 fps, ETA 00h23m24s)
Encoding: task 1 of 2, 0.99 % (47.84 fps, avg 44.61 fps, ETA 00h23m24s)
Encoding: task 1 of 2, 1.01 % (47.27 fps, avg 45.13 fps, ETA 00h23m07s)
Encoding: task 1 of 2, 1.04 % (47.27 fps, avg 45.13 fps, ETA 00h23m07s)
Encoding: task 1 of 2, 1.05 % (47.27 fps, avg 45.13 fps, ETA 00h23m07s)
Encoding: task 1 of 2, 1.08 % (44.25 fps, avg 44.71 fps, ETA 00h23m19s)
Encoding: task 1 of 2, 1.09 % (44.25 fps, avg 44.71 fps, ETA 00h23m19s)
Encoding: task 1 of 2, 1.12 % (44.25 fps, avg 44.71 fps, ETA 00h23m19s)
Encoding: task 1 of 2, 1.13 % (44.25 fps, avg 44.71 fps, ETA 00h23m19s)
Encoding: task 1 of 2, 1.16 % (49.50 fps, avg 45.55 fps, ETA 00h22m52s)
Encoding: task 1 of 2, 1.19 % (49.50 fps, avg 45.55 fps, ETA 00h22m52s)
Encoding: task 1 of 2, 1.20 % (49.50 fps, avg 45.55 fps, ETA 00h22m52s)
Encoding: task 1 of 2, 1.23 % (45.66 fps, avg 45.22 fps, ETA 00h23m01s)
Encoding: task 1 of 2, 1.25 % (45.66 fps, avg 45.22 fps, ETA 00h23m01s)
Encoding: task 1 of 2, 1.27 % (45.66 fps, avg 45.22 fps, ETA 00h23m01s)
Encoding: task 1 of 2, 1.29 % (45.66 fps, avg 45.22 fps, ETA 00h23m01s)
